PropertyID,Street,ZestimateDate,ZestimateAmount,SaleDate,SaleAmount,ZestimateOnSaleDate,,Delta of FandG,
48665303,N 98TH ST  ,7/1/2002,"$227,691.00",6/25/2001,"$240,550.00","$202,818.00",,,
48665304,N 98TH ST  ,7/1/2002,"$239,256.00",8/15/2003,"$249,000.00","$260,221.00",,,
48665305, FREMONT AVE N ,7/1/2002,"$224,717.00",10/6/1997,"$165,000.00","$147,608.00",,,
48665306,N 98th St  ,7/1/2002,"$301,466.00",#N/A,#N/A,#N/A,,,
48665307,N 98th St  ,7/1/2002,"$248,380.00",#N/A,#N/A,#N/A,,,
48665308,N 98TH ST  ,7/1/2002,"$234,573.00",#N/A,#N/A,#N/A,,,
48665309,N 98TH ST  ,7/1/2002,"$242,530.00",#N/A,#N/A,#N/A,,,
48665310,N 98th St  ,7/1/2002,"$228,125.00",#N/A,#N/A,#N/A,,,
48665311,N 98TH ST  ,7/1/2002,"$257,217.00",5/17/2006,"$446,000.00","$371,497.00",,,
48665312,N 98TH ST  ,7/1/2002,"$230,473.00",6/9/2004,"$258,500.00","$268,194.00",,,
48665313,N 98TH ST  ,7/1/2002,"$319,503.00",12/31/1998,"$220,000.00","$236,627.00",,,
48665314, LINDEN AVE N ,7/1/2002,"$270,351.00",5/1/2000,"$205,000.00","$234,356.00",,,
48665315, Linden Ave N ,7/1/2002,"$212,218.00",#N/A,#N/A,#N/A,,,
48665316, LINDEN AVE N ,7/1/2002,"$237,935.00",11/6/1997,"$160,000.00","$152,054.00",,,
48665317, LINDEN AVE N ,7/1/2002,"$226,437.00",11/19/1998,"$171,200.00","$171,003.00",,,
48665318,N 97TH ST  ,7/1/2002,"$244,066.00",4/23/2003,"$208,000.00","$251,730.00",,,
48665319,N 97th St  ,7/1/2002,"$274,462.00",#N/A,#N/A,#N/A,,,
48665320,N 97TH ST  ,7/1/2002,"$278,413.00",6/4/2004,"$327,000.00","$327,381.00",,,
48665321,N 97TH ST  ,7/1/2002,"$198,091.00",5/29/2003,"$250,000.00","$211,029.00",,,
48665322,N 97th St  ,7/1/2002,"$231,739.00",#N/A,#N/A,#N/A,,,
48665323,N 97TH ST  ,7/1/2002,"$189,883.00",12/11/1998,"$125,000.00","$142,632.00",,,
48665324,N 97th St  ,7/1/2002,"$213,633.00",#N/A,#N/A,#N/A,,,
48665325,N 97TH ST  ,7/1/2002,"$195,416.00",#N/A,#N/A,#N/A,,,
48973430,N 43rd St  ,7/1/2000,"$558,939.00",1/8/2007,"$1,130,000.00","$881,060.00",,"$248,940.00",
48665327,N 97th St  ,7/1/2002,"$207,975.00",#N/A,#N/A,#N/A,,,
48665328,N 97th St  ,7/1/2002,"$268,213.00",#N/A,#N/A,#N/A,,,
48665329, LINDEN AVE N ,7/1/2002,"$190,916.00",6/15/2006,"$376,000.00","$333,963.00",,,
48665330, LINDEN AVE N ,7/1/2002,"$249,654.00",#N/A,#N/A,#N/A,,,
48665331,N 98TH ST  ,7/1/2002,"$227,662.00",12/22/1997,"$140,000.00","$146,690.00",,,
48665332,N 98TH ST  ,7/1/2002,"$267,360.00",12/28/2005,"$300,000.00","$374,178.00",,,
48665333,N 98TH ST  ,7/1/2002,"$224,386.00",5/24/2005,"$235,000.00","$293,032.00",,,
48665334,N 98TH ST  ,7/1/2002,"$209,512.00",#N/A,#N/A,#N/A,,,
48665335,N 97th St  ,7/1/2002,"$215,447.00",#N/A,#N/A,#N/A,,,
48665336,N 97TH ST  ,7/1/2002,"$253,294.00",8/10/2005,"$293,000.00","$356,830.00",,,
48665337,N 97TH ST  ,7/1/2002,"$198,366.00",#N/A,#N/A,#N/A,,,
48665338,N 97th St  ,7/1/2002,"$201,776.00",#N/A,#N/A,#N/A,,,
48665339, LINDEN AVE N ,7/1/2002,"$241,663.00",2/17/2005,"$332,000.00","$301,042.00",,,
48665340, LINDEN AVE N ,7/1/2002,"$232,989.00",11/12/1999,"$199,950.00","$194,240.00",,,
48665341, Aurora Ave N ,7/1/2002,"$1,050,764.00",#N/A,#N/A,#N/A,,,
48668187, Meridian Ave N ,7/1/2002,"$440,466.00",#N/A,#N/A,#N/A,,,
48668188, Meridian Ave N ,7/1/2002,"$373,543.00",#N/A,#N/A,#N/A,,,
48668189, Meridian Ave N ,7/1/2002,"$356,429.00",10/28/2005,"$550,000.00","$544,254.00",,,
48668190, Meridian Ave N ,7/1/2002,"$459,100.00",10/6/2006,"$740,000.00","$767,913.00",,,
48668191, Meridian Ave N ,7/1/2002,"$465,079.00",#N/A,#N/A,#N/A,,,
48668192, MERIDIAN AVE N ,7/1/2002,"$283,560.00",9/27/2006,"$432,000.00","$445,698.00",,,
48668193, Meridian Ave N ,7/1/2002,"$699,707.00",#N/A,#N/A,#N/A,,,
48668194,N 36th St  ,7/1/2002,"$289,114.00",#N/A,#N/A,#N/A,,,
48668195, MERIDIAN AVE N ,7/1/2002,"$445,628.00",3/24/2000,"$415,000.00","$370,650.00",,,
48668196, Bagley Ave N ,7/1/2002,"$371,739.00",#N/A,#N/A,#N/A,,,
48668197,N 36TH ST  ,7/1/2002,"$626,243.00",#N/A,#N/A,#N/A,,,
48668198,N 36TH ST  ,7/1/2002,"$462,737.00",#N/A,#N/A,#N/A,,,
48668199, Bagley Ave N ,7/1/2002,"$562,396.00",#N/A,#N/A,#N/A,,,
